uid,title,score,members,popularity,cluster,cluster_label,reason
18061,Tiger Mask (Movie),6.31,597,10618,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
3472,Tenrankai no E,6.31,1563,8521,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
9287,Inyouchuu Shoku: Ryoushokutou Taimaroku - Kanzenhan,6.24,3010,7009,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
39794,Soshite Watashi wa Ojisan ni...,6.24,1262,9037,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
32238,"Watashi wa, Kairaku Izonshou",6.24,3328,6774,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
16099,Sword Art Online: Sword Art Offline,6.31,70431,1494,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
3300,Romance wa Tsurugi no Kagayaki II,6.23,1502,8628,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
3560,Karen,5.94,2450,7464,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
1862,Strike Witches OVA,6.31,21979,3045,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
835,Sister Princess: Re Pure,6.31,7211,4950,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
13175,Shiranpuri (Movie),6.31,3919,6339,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
2532,Onna Kyoushi Yumi no Houkago,5.91,3091,6946,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
220,Kuro no Danshou,5.91,1960,8009,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
37436,Revisions,6.31,40115,2192,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
30939,Shiranpuri,6.31,268,12474,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
34239,Mutsugo to Ouma no Monogatari,6.31,2009,7945,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
4524,Shenmue: The Movie,6.31,1060,9390,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
13231,Metal Fight Beyblade Zero G,6.31,7120,4997,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
1512,Court no Naka no Tenshi-tachi,5.9,2343,7568,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
36431,One Room 2nd Season,6.31,23439,2958,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
4121,Meimon! Daisan Yakyuubu,6.31,429,11320,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
23831,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari - Magica Quartet x Nisioisin,6.31,11010,4168,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
2260,Kirameki☆Project,6.31,1590,8480,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
32989,King of Prism by Pretty Rhythm Short Anime,6.31,681,10299,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
12059,Otome Dori,5.9,12845,3907,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
35573,Tsuma ga Onsen de Circle Nakama no Nikubenki ni Natta no Desu ga... Anime Edition,5.89,1993,7992,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
2185,Words Worth Gaiden,5.88,3291,6790,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
8654,I☆Can,5.88,6329,5232,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
40399,Valkyrie Hazard,5.83,303,12162,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
3681,Tokyo Requiem,5.86,2118,7824,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
32484,A-Size Classmate,5.85,6090,5329,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
9525,Junod,6.31,509,10954,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
17785,Jungle wa Itsumo Hare nochi Guu: Eizou Tokuten - Maboroshi no Pilot Film,6.31,688,10283,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
34337,Ikemen Sengoku: Toki wo Kakeru ga Koi wa Hajimaranai,6.31,6265,5265,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
5900,Jean Valjean Monogatari,6.31,657,10391,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
581,Honoo no Labyrinth,6.31,7820,4788,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
360,Himiko-den,6.31,4694,5894,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
4737,Himitsukessha Taka no Tsume,6.31,612,10551,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
27693,Heart Cocktail,6.31,560,10745,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
15565,Maken-Ki! Two,6.31,91807,1185,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
6583,Super Bikkuriman,6.31,326,11949,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
9091,Ikusa Otome Suvia Special,5.84,1980,7988,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
8275,Kanin Tokkyuu Michishio,5.85,1446,8711,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
33934,Trigger-chan,6.31,9333,4471,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
2872,Asgaldh: The Distortion Testament,5.84,2178,7746,0,Long-tail / Lower Engagement,Lower members and broader long-tail catalog
